0,0,0,0,1,0,2,1,0,0,0
2,4,12,18,10,0,8,20,8,2,17
0,0,0,1,1,0,2,1,0,0,0
9,10,49,35,39,5,32,53,30,18,48
0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
2,4,12,18,10,0,8,20,8,2,17
0,0,0,0,0,0,1,0,0,0,0
2,4,14,20,11,0,9,21,10,3,18
1,0,6,11,6,0,5,12,3,0,6
12,10,50,35,39,5,33,55,31,20,48
0,0,2,2,2,0,2,2,1,0,2
12,10,50,35,39,5,33,55,31,20,48
0,0,4,5,3,0,4,4,1,0,3
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
7,9,30,27,26,2,15,37,20,10,34
13,12,51,36,39,5,34,55,32,20,48
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
2,4,14,18,11,0,9,20,9,3,17
12,10,50,35,39,5,33,55,31,20,48
9,10,49,35,39,5,32,53,30,18,48
0,0,0,0,0,0,1,0,0,0,0
1,0,6,11,6,0,5,12,4,0,6
1,0,4,5,4,0,4,4,1,0,3
0,0,0,0,0,0,1,0,0,0,0
0,0,2,1,2,0,2,2,0,0,2
2,0,7,13,6,0,6,13,5,0,6
0,0,2,1,1,0,2,1,0,0,2
0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,2,1,0,0,0
0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,2,1,0,0,0
2,3,10,18,8,0,8,20,7,2,16
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0
1,0,4,7,4,0,4,7,1,0,4
0,0,0,0,1,0,1,0,0,0,0
2,3,10,18,8,0,8,20,7,2,16
2,4,14,20,11,0,9,21,10,3,18
2,4,14,18,10,0,8,20,9,2,17
0,0,2,1,1,0,2,1,0,0,2
2,4,12,18,10,0,8,20,8,2,17
0,0,0,0,1,0,1,0,0,0,0
13,12,51,36,39,5,34,55,32,20,48
1,0,4,8,4,0,4,7,1,0,4
0,0,2,1,1,0,2,1,0,0,2
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
1,0,6,12,6,0,5,12,4,0,6
0,0,0,0,0,0,1,0,0,0,0
2,4,10,18,9,0,8,20,7,2,16
0,0,0,0,0,0,1,0,0,0,0
1,0,5,10,6,0,4,9,2,0,5
0,0,2,3,3,0,2,3,1,0,2
0,0,1,1,1,0,2,1,0,0,1
2,3,10,18,7,0,8,18,6,2,14
0,0,0,0,1,0,1,1,0,0,0
0,0,0,0,1,0,2,1,0,0,0
0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
2,0,7,13,7,0,6,14,6,0,8
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
2,4,10,18,9,0,8,20,7,2,16
2,3,10,18,8,0,8,20,7,2,16
0,0,0,0,0,0,1,0,0,0,0
1,0,4,7,4,0,4,7,1,0,4
0,0,0,0,1,0,2,1,0,0,0
0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,2,1,2,0,2,2,0,0,2
1,0,4,10,5,0,4,7,2,0,4
1,0,4,9,4,0,4,7,2,0,4
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
1,0,4,5,4,0,4,5,1,0,3
9,10,47,33,39,4,29,52,30,17,47
0,0,0,0,0,0,1,0,0,0,0
2,0,6,12,6,0,5,13,4,0,6
8,10,44,31,35,4,27,50,30,15,45
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,2,1,0,0,0
1,0,4,6,4,0,4,5,1,0,3
0,0,4,3,3,0,4,4,1,0,2
0,0,0,0,0,0,1,0,0,0,0
2,4,14,18,10,0,8,20,9,2,17
0,0,1,1,1,0,2,1,0,0,1
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
2,0,7,13,6,0,6,13,6,0,6
